id_offre,titre,entreprise,ville,domaine,type_contrat,niveau_etudes_min,experience_min,salaire_fcfa,competences_requises,soft_skills,description
O0052,Chargé de marketing,Compagnie Alima,Brazzaville,Commerce / Vente / Marketing,Intérim,Licence (BAC+3),2,700000,gestion de clientèle; service client; négociation commerciale; étude de marché,communication; prise d'initiative,"Compagnie Alima recrute un(e) Chargé de marketing à Brazzaville en Intérim. Missions : intervenir sur des activités de commerce / vente / marketing et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 2 an(s) d'expérience. Compétences requises : gestion de clientèle, service client, négociation commerciale, étude de marché. Qualités attendues : communication, prise d'initiative."
O0053,Serveur,Agence Léfini,Pointe-Noire,Hôtellerie / Restauration,CDD,Licence (BAC+3),5,700000,pâtisserie; cuisine; service en salle; réception hôtelière; housekeeping; gestion hôtelière,adaptabilité; rigueur,"Agence Léfini recrute un(e) Serveur à Pointe-Noire en CDD. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 5 an(s) d'expérience. Compétences requises : pâtisserie, cuisine, service en salle, réception hôtelière, housekeeping, gestion hôtelière. Qualités attendues : adaptabilité, rigueur."
O0054,Gouvernante,Groupe Sangha,Brazzaville,Hôtellerie / Restauration,Intérim,BAC+2 (BTS/DUT),1,500000,service en salle; pâtisserie; réception hôtelière; cuisine; gestion hôtelière; housekeeping,communication; prise d'initiative,"Groupe Sangha recrute un(e) Gouvernante à Brazzaville en Intérim. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 1 an(s) d'expérience. Compétences requises : service en salle, pâtisserie, réception hôtelière, cuisine, gestion hôtelière, housekeeping. Qualités attendues : communication, prise d'initiative."
O0055,Enseignant,Société Batéké,Brazzaville,Éducation / Formation,CDD,Master (BAC+5),3,300000,enseignement; encadrement scolaire; pédagogie; conception de programmes; formation professionnelle,adaptabilité; prise d'initiative,"Société Batéké recrute un(e) Enseignant à Brazzaville en CDD. Missions : intervenir sur des activités de éducation / formation et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 3 an(s) d'expérience. Compétences requises : enseignement, encadrement scolaire, pédagogie, conception de programmes, formation professionnelle. Qualités attendues : adaptabilité, prise d'initiative."
O0056,Chef de projet IT,Compagnie Loango,Nkayi,Informatique / IT,Stage,Licence (BAC+3),0,500000,développement web; javascript; sql; php; administration réseau; bases de données,leadership; autonomie,"Compagnie Loango recrute un(e) Chef de projet IT à Nkayi en Stage. Missions : intervenir sur des activités de informatique / it et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 0 an(s) d'expérience. Compétences requises : développement web, javascript, sql, php, administration réseau, bases de données. Qualités attendues : leadership, autonomie."
O0057,Cuisinier,Agence Plateaux,Kinkala,Hôtellerie / Restauration,CDI,BAC,3,300000,pâtisserie; gestion hôtelière; housekeeping; réception hôtelière; cuisine,esprit d'analyse; autonomie,"Agence Plateaux recrute un(e) Cuisinier à Kinkala en CDI. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 3 an(s) d'expérience. Compétences requises : pâtisserie, gestion hôtelière, housekeeping, réception hôtelière, cuisine. Qualités attendues : esprit d'analyse, autonomie."
O0058,Conducteur de travaux,Entreprise du Fleuve,Pointe-Noire,BTP / Construction,CDI,BAC+2 (BTS/DUT),2,700000,voirie; béton armé; autocad; conduite de travaux,travail en équipe; sens de l'organisation,"Entreprise du Fleuve recrute un(e) Conducteur de travaux à Pointe-Noire en CDI. Missions : intervenir sur des activités de btp / construction et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 2 an(s) d'expérience. Compétences requises : voirie, béton armé, autocad, conduite de travaux. Qualités attendues : travail en équipe, sens de l'organisation."
O0059,Chef d'exploitation,Entreprise Djoué,Nkayi,Agriculture / Agroalimentaire,Consultance,BAC+2 (BTS/DUT),3,400000,pêche; élevage; gestion coopérative; maraîchage; agronomie,leadership; adaptabilité,"Entreprise Djoué recrute un(e) Chef d'exploitation à Nkayi en Consultance. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 3 an(s) d'expérience. Compétences requises : pêche, élevage, gestion coopérative, maraîchage, agronomie. Qualités attendues : leadership, adaptabilité."
O0060,Agent de microfinance,Agence Plateaux,Pointe-Noire,Banque / Finance,CDD,BAC,5,200000,conformité bancaire; ohada; fiscalité; analyse financière,rigueur; prise d'initiative,"Agence Plateaux recrute un(e) Agent de microfinance à Pointe-Noire en CDD. Missions : intervenir sur des activités de banque / finance et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 5 an(s) d'expérience. Compétences requises : conformité bancaire, ohada, fiscalité, analyse financière. Qualités attendues : rigueur, prise d'initiative."
O0061,Analyste financier,Agence Léfini,Brazzaville,Banque / Finance,CDD,BAC+2 (BTS/DUT),0,250000,ohada; analyse financière; comptabilité; audit; sage comptabilité; gestion de trésorerie,leadership; travail en équipe,"Agence Léfini recrute un(e) Analyste financier à Brazzaville en CDD. Missions : intervenir sur des activités de banque / finance et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 0 an(s) d'expérience. Compétences requises : ohada, analyse financière, comptabilité, audit, sage comptabilité, gestion de trésorerie. Qualités attendues : leadership, travail en équipe."
O0062,Formateur professionnel,Entreprise Djoué,Pointe-Noire,Éducation / Formation,CDD,Master (BAC+5),3,200000,enseignement; pédagogie; conception de programmes,esprit d'analyse; autonomie,"Entreprise Djoué recrute un(e) Formateur professionnel à Pointe-Noire en CDD. Missions : intervenir sur des activités de éducation / formation et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 3 an(s) d'expérience. Compétences requises : enseignement, pédagogie, conception de programmes. Qualités attendues : esprit d'analyse, autonomie."
O0063,Encadreur pédagogique,Cabinet Mayombe,Kinkala,Éducation / Formation,CDD,BAC+2 (BTS/DUT),1,200000,formation professionnelle; enseignement; encadrement scolaire; conception de programmes; alphabétisation; pédagogie,esprit d'analyse; sens de l'organisation,"Cabinet Mayombe recrute un(e) Encadreur pédagogique à Kinkala en CDD. Missions : intervenir sur des activités de éducation / formation et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 1 an(s) d'expérience. Compétences requises : formation professionnelle, enseignement, encadrement scolaire, conception de programmes, alphabétisation, pédagogie. Qualités attendues : esprit d'analyse, sens de l'organisation."
O0064,Répétiteur,Entreprise du Fleuve,Pointe-Noire,Éducation / Formation,Stage,Licence (BAC+3),2,1200000,formation professionnelle; encadrement scolaire; pédagogie; enseignement; conception de programmes; alphabétisation,sens de l'organisation; leadership,"Entreprise du Fleuve recrute un(e) Répétiteur à Pointe-Noire en Stage. Missions : intervenir sur des activités de éducation / formation et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 2 an(s) d'expérience. Compétences requises : formation professionnelle, encadrement scolaire, pédagogie, enseignement, conception de programmes, alphabétisation. Qualités attendues : sens de l'organisation, leadership."
O0065,Technicien agricole,Société Loango,Brazzaville,Agriculture / Agroalimentaire,CDD,BAC,2,250000,pêche; agronomie; élevage; gestion coopérative,travail en équipe; sens de l'organisation,"Société Loango recrute un(e) Technicien agricole à Brazzaville en CDD. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 2 an(s) d'expérience. Compétences requises : pêche, agronomie, élevage, gestion coopérative. Qualités attendues : travail en équipe, sens de l'organisation."
O0066,Agent de transit,Compagnie Djoué,Brazzaville,Logistique / Transport,CDI,Master (BAC+5),2,1200000,transit; planification logistique; douane,sens de l'organisation; leadership,"Compagnie Djoué recrute un(e) Agent de transit à Brazzaville en CDI. Missions : intervenir sur des activités de logistique / transport et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 2 an(s) d'expérience. Compétences requises : transit, planification logistique, douane. Qualités attendues : sens de l'organisation, leadership."
O0067,Agent de transformation,Groupe Mayombe,Pointe-Noire,Agriculture / Agroalimentaire,CDI,Licence (BAC+3),2,150000,gestion coopérative; maraîchage; transformation alimentaire; sylviculture,prise d'initiative; sens de l'organisation,"Groupe Mayombe recrute un(e) Agent de transformation à Pointe-Noire en CDI. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 2 an(s) d'expérience. Compétences requises : gestion coopérative, maraîchage, transformation alimentaire, sylviculture. Qualités attendues : prise d'initiative, sens de l'organisation."
O0068,Magasinier,Entreprise Niari,Pointe-Noire,Logistique / Transport,CDI,BAC+2 (BTS/DUT),3,250000,magasinage; manutention portuaire; planification logistique; douane,autonomie; leadership,"Entreprise Niari recrute un(e) Magasinier à Pointe-Noire en CDI. Missions : intervenir sur des activités de logistique / transport et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 3 an(s) d'expérience. Compétences requises : magasinage, manutention portuaire, planification logistique, douane. Qualités attendues : autonomie, leadership."
O0069,Mécanicien industriel,Entreprise Mayombe,Pointe-Noire,Pétrole / Gaz / Énergie,CDD,BAC+2 (BTS/DUT),3,250000,hse; inspection technique; maintenance industrielle; production pétrolière; électromécanique; soudure,autonomie; rigueur,"Entreprise Mayombe recrute un(e) Mécanicien industriel à Pointe-Noire en CDD. Missions : intervenir sur des activités de pétrole / gaz / énergie et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 3 an(s) d'expérience. Compétences requises : hse, inspection technique, maintenance industrielle, production pétrolière, électromécanique, soudure. Qualités attendues : autonomie, rigueur."
O0070,Pharmacien assistant,Compagnie Mayombe,Brazzaville,Santé,CDI,BAC+2 (BTS/DUT),3,500000,soins infirmiers; santé publique; pharmacie; nutrition; laboratoire médical; imagerie médicale,sens de l'organisation; communication,"Compagnie Mayombe recrute un(e) Pharmacien assistant à Brazzaville en CDI. Missions : intervenir sur des activités de santé et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 3 an(s) d'expérience. Compétences requises : soins infirmiers, santé publique, pharmacie, nutrition, laboratoire médical, imagerie médicale. Qualités attendues : sens de l'organisation, communication."
O0071,Topographe,Société Loango,Pointe-Noire,BTP / Construction,Consultance,BEPC,3,900000,topographie; béton armé; dessin technique,gestion du temps; communication,"Société Loango recrute un(e) Topographe à Pointe-Noire en Consultance. Missions : intervenir sur des activités de btp / construction et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 3 an(s) d'expérience. Compétences requises : topographie, béton armé, dessin technique. Qualités attendues : gestion du temps, communication."
O0072,Agent de santé communautaire,Cabinet Batéké,Pointe-Noire,Santé,Stage,Licence (BAC+3),1,1200000,santé publique; nutrition; soins infirmiers; kinésithérapie; pharmacie,adaptabilité; gestion du temps,"Cabinet Batéké recrute un(e) Agent de santé communautaire à Pointe-Noire en Stage. Missions : intervenir sur des activités de santé et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 1 an(s) d'expérience. Compétences requises : santé publique, nutrition, soins infirmiers, kinésithérapie, pharmacie. Qualités attendues : adaptabilité, gestion du temps."
O0073,Chargé de marketing,Agence Plateaux,Brazzaville,Commerce / Vente / Marketing,Consultance,BAC+2 (BTS/DUT),0,500000,community management; vente; étude de marché; service client,leadership; prise d'initiative,"Agence Plateaux recrute un(e) Chargé de marketing à Brazzaville en Consultance. Missions : intervenir sur des activités de commerce / vente / marketing et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 0 an(s) d'expérience. Compétences requises : community management, vente, étude de marché, service client. Qualités attendues : leadership, prise d'initiative."
O0074,Chef de chantier,Compagnie Djoué,Pointe-Noire,BTP / Construction,Stage,Master (BAC+5),1,300000,maçonnerie; voirie; conduite de travaux; menuiserie; métré; béton armé,esprit d'analyse; sens de l'organisation,"Compagnie Djoué recrute un(e) Chef de chantier à Pointe-Noire en Stage. Missions : intervenir sur des activités de btp / construction et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 1 an(s) d'expérience. Compétences requises : maçonnerie, voirie, conduite de travaux, menuiserie, métré, béton armé. Qualités attendues : esprit d'analyse, sens de l'organisation."
O0075,Mécanicien industriel,Entreprise Djoué,Brazzaville,Pétrole / Gaz / Énergie,Intérim,BEPC,2,150000,électromécanique; production pétrolière; gestion de plateforme; inspection technique; qhse; tuyauterie,communication; leadership,"Entreprise Djoué recrute un(e) Mécanicien industriel à Brazzaville en Intérim. Missions : intervenir sur des activités de pétrole / gaz / énergie et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 2 an(s) d'expérience. Compétences requises : électromécanique, production pétrolière, gestion de plateforme, inspection technique, qhse, tuyauterie. Qualités attendues : communication, leadership."
O0076,Agronome,Groupe Léfini,Dolisie,Agriculture / Agroalimentaire,Stage,Licence (BAC+3),5,500000,maraîchage; gestion coopérative; pêche; agronomie; élevage; sylviculture,prise d'initiative; rigueur,"Groupe Léfini recrute un(e) Agronome à Dolisie en Stage. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 5 an(s) d'expérience. Compétences requises : maraîchage, gestion coopérative, pêche, agronomie, élevage, sylviculture. Qualités attendues : prise d'initiative, rigueur."
O0077,Technicien fibre optique,Société Sangha,Pointe-Noire,Télécommunications,CDD,Master (BAC+5),2,500000,réseaux mobiles; voip; maintenance télécom; radiofréquence; fibre optique; transmission,adaptabilité; leadership,"Société Sangha recrute un(e) Technicien fibre optique à Pointe-Noire en CDD. Missions : intervenir sur des activités de télécommunications et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 2 an(s) d'expérience. Compétences requises : réseaux mobiles, voip, maintenance télécom, radiofréquence, fibre optique, transmission. Qualités attendues : adaptabilité, leadership."
O0078,Ingénieur radio,Agence Loango,Pointe-Noire,Télécommunications,CDI,Licence (BAC+3),1,400000,transmission; radiofréquence; bss/oss,autonomie; prise d'initiative,"Agence Loango recrute un(e) Ingénieur radio à Pointe-Noire en CDI. Missions : intervenir sur des activités de télécommunications et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 1 an(s) d'expérience. Compétences requises : transmission, radiofréquence, bss/oss. Qualités attendues : autonomie, prise d'initiative."
O0079,Administrateur réseau,Société Batéké,Dolisie,Informatique / IT,CDD,BAC,0,150000,python; développement web; excel avancé; maintenance informatique; administration réseau; machine learning,autonomie; adaptabilité,"Société Batéké recrute un(e) Administrateur réseau à Dolisie en CDD. Missions : intervenir sur des activités de informatique / it et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 0 an(s) d'expérience. Compétences requises : python, développement web, excel avancé, maintenance informatique, administration réseau, machine learning. Qualités attendues : autonomie, adaptabilité."
O0080,Community manager,Compagnie Sangha,Brazzaville,Commerce / Vente / Marketing,CDD,Licence (BAC+3),0,500000,service client; marketing digital; gestion de clientèle,communication; esprit d'analyse,"Compagnie Sangha recrute un(e) Community manager à Brazzaville en CDD. Missions : intervenir sur des activités de commerce / vente / marketing et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 0 an(s) d'expérience. Compétences requises : service client, marketing digital, gestion de clientèle. Qualités attendues : communication, esprit d'analyse."
O0081,Formateur professionnel,Société Mayombe,Dolisie,Éducation / Formation,CDI,Licence (BAC+3),0,400000,enseignement; conception de programmes; encadrement scolaire; alphabétisation; formation professionnelle,adaptabilité; gestion du temps,"Société Mayombe recrute un(e) Formateur professionnel à Dolisie en CDI. Missions : intervenir sur des activités de éducation / formation et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 0 an(s) d'expérience. Compétences requises : enseignement, conception de programmes, encadrement scolaire, alphabétisation, formation professionnelle. Qualités attendues : adaptabilité, gestion du temps."
O0082,Répétiteur,Cabinet Léfini,Pointe-Noire,Éducation / Formation,CDI,BAC+2 (BTS/DUT),2,700000,enseignement; pédagogie; encadrement scolaire; conception de programmes; formation professionnelle,communication; gestion du temps,"Cabinet Léfini recrute un(e) Répétiteur à Pointe-Noire en CDI. Missions : intervenir sur des activités de éducation / formation et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 2 an(s) d'expérience. Compétences requises : enseignement, pédagogie, encadrement scolaire, conception de programmes, formation professionnelle. Qualités attendues : communication, gestion du temps."
O0083,Gouvernante,Entreprise M'Foa,Brazzaville,Hôtellerie / Restauration,CDD,Licence (BAC+3),2,500000,cuisine; pâtisserie; gestion hôtelière; housekeeping,leadership; adaptabilité,"Entreprise M'Foa recrute un(e) Gouvernante à Brazzaville en CDD. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 2 an(s) d'expérience. Compétences requises : cuisine, pâtisserie, gestion hôtelière, housekeeping. Qualités attendues : leadership, adaptabilité."
O0084,Cuisinier,Agence Alima,Brazzaville,Hôtellerie / Restauration,CDI,BAC,3,400000,housekeeping; réception hôtelière; gestion hôtelière; service en salle; cuisine; pâtisserie,rigueur; leadership,"Agence Alima recrute un(e) Cuisinier à Brazzaville en CDI. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 3 an(s) d'expérience. Compétences requises : housekeeping, réception hôtelière, gestion hôtelière, service en salle, cuisine, pâtisserie. Qualités attendues : rigueur, leadership."
O0085,Superviseur réseau,Entreprise Congo Services,Brazzaville,Télécommunications,Intérim,BEPC,1,250000,bss/oss; voip; fibre optique; réseaux mobiles,rigueur; leadership,"Entreprise Congo Services recrute un(e) Superviseur réseau à Brazzaville en Intérim. Missions : intervenir sur des activités de télécommunications et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 1 an(s) d'expérience. Compétences requises : bss/oss, voip, fibre optique, réseaux mobiles. Qualités attendues : rigueur, leadership."
O0086,Secrétaire de direction,Cabinet Batéké,Brazzaville,Administration / RH / Juridique,CDD,Master (BAC+5),3,150000,gestion des ressources humaines; secrétariat; passation de marchés,sens de l'organisation; autonomie,"Cabinet Batéké recrute un(e) Secrétaire de direction à Brazzaville en CDD. Missions : intervenir sur des activités de administration / rh / juridique et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 3 an(s) d'expérience. Compétences requises : gestion des ressources humaines, secrétariat, passation de marchés. Qualités attendues : sens de l'organisation, autonomie."
O0087,Technicien fibre optique,Groupe Kouilou,Brazzaville,Télécommunications,CDI,Sans diplôme,1,500000,fibre optique; transmission; voip; maintenance télécom; réseaux mobiles,gestion du temps; rigueur,"Groupe Kouilou recrute un(e) Technicien fibre optique à Brazzaville en CDI. Missions : intervenir sur des activités de télécommunications et contribuer aux objectifs de l'équipe. Profil recherché : Sans diplôme minimum, au moins 1 an(s) d'expérience. Compétences requises : fibre optique, transmission, voip, maintenance télécom, réseaux mobiles. Qualités attendues : gestion du temps, rigueur."
O0088,Caissier,Compagnie Sangha,Pointe-Noire,Commerce / Vente / Marketing,CDD,BEPC,1,250000,merchandising; marketing digital; caisse,esprit d'analyse; adaptabilité,"Compagnie Sangha recrute un(e) Caissier à Pointe-Noire en CDD. Missions : intervenir sur des activités de commerce / vente / marketing et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 1 an(s) d'expérience. Compétences requises : merchandising, marketing digital, caisse. Qualités attendues : esprit d'analyse, adaptabilité."
O0089,Serveur,Groupe Léfini,Brazzaville,Hôtellerie / Restauration,CDD,Licence (BAC+3),0,300000,service en salle; réception hôtelière; pâtisserie; gestion hôtelière; housekeeping,communication; prise d'initiative,"Groupe Léfini recrute un(e) Serveur à Brazzaville en CDD. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 0 an(s) d'expérience. Compétences requises : service en salle, réception hôtelière, pâtisserie, gestion hôtelière, housekeeping. Qualités attendues : communication, prise d'initiative."
O0090,Commercial terrain,Cabinet Sangha,Brazzaville,Commerce / Vente / Marketing,CDD,BAC,2,400000,service client; étude de marché; marketing digital,esprit d'analyse; rigueur,"Cabinet Sangha recrute un(e) Commercial terrain à Brazzaville en CDD. Missions : intervenir sur des activités de commerce / vente / marketing et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 2 an(s) d'expérience. Compétences requises : service client, étude de marché, marketing digital. Qualités attendues : esprit d'analyse, rigueur."
O0091,Pharmacien assistant,Compagnie Congo Services,Brazzaville,Santé,CDD,BAC+2 (BTS/DUT),5,250000,imagerie médicale; soins infirmiers; sage-femme,gestion du temps; sens de l'organisation,"Compagnie Congo Services recrute un(e) Pharmacien assistant à Brazzaville en CDD. Missions : intervenir sur des activités de santé et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 5 an(s) d'expérience. Compétences requises : imagerie médicale, soins infirmiers, sage-femme. Qualités attendues : gestion du temps, sens de l'organisation."
O0092,Assistant RH,Cabinet Kouilou,Pointe-Noire,Administration / RH / Juridique,Stage,Licence (BAC+3),1,700000,passation de marchés; secrétariat; rédaction juridique; gestion administrative,sens de l'organisation; communication,"Cabinet Kouilou recrute un(e) Assistant RH à Pointe-Noire en Stage. Missions : intervenir sur des activités de administration / rh / juridique et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 1 an(s) d'expérience. Compétences requises : passation de marchés, secrétariat, rédaction juridique, gestion administrative. Qualités attendues : sens de l'organisation, communication."
O0093,Ingénieur génie civil,Compagnie Kouilou,Pointe-Noire,BTP / Construction,Stage,Licence (BAC+3),5,1200000,conduite de travaux; plomberie; dessin technique,prise d'initiative; travail en équipe,"Compagnie Kouilou recrute un(e) Ingénieur génie civil à Pointe-Noire en Stage. Missions : intervenir sur des activités de btp / construction et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 5 an(s) d'expérience. Compétences requises : conduite de travaux, plomberie, dessin technique. Qualités attendues : prise d'initiative, travail en équipe."
O0094,Topographe,Compagnie Plateaux,Impfondo,BTP / Construction,CDI,BAC+2 (BTS/DUT),1,250000,électricité bâtiment; topographie; conduite de travaux; dessin technique; génie civil,sens de l'organisation; rigueur,"Compagnie Plateaux recrute un(e) Topographe à Impfondo en CDI. Missions : intervenir sur des activités de btp / construction et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 1 an(s) d'expérience. Compétences requises : électricité bâtiment, topographie, conduite de travaux, dessin technique, génie civil. Qualités attendues : sens de l'organisation, rigueur."
O0095,Technicien informatique,Entreprise M'Foa,Owando,Informatique / IT,CDI,Master (BAC+5),1,250000,cybersécurité; java; python; bases de données,adaptabilité; prise d'initiative,"Entreprise M'Foa recrute un(e) Technicien informatique à Owando en CDI. Missions : intervenir sur des activités de informatique / it et contribuer aux objectifs de l'équipe. Profil recherché : Master (BAC+5) minimum, au moins 1 an(s) d'expérience. Compétences requises : cybersécurité, java, python, bases de données. Qualités attendues : adaptabilité, prise d'initiative."
O0096,Responsable logistique,Agence Léfini,Pointe-Noire,Logistique / Transport,Consultance,Sans diplôme,1,200000,gestion de stock; conduite poids lourds; transit,autonomie; leadership,"Agence Léfini recrute un(e) Responsable logistique à Pointe-Noire en Consultance. Missions : intervenir sur des activités de logistique / transport et contribuer aux objectifs de l'équipe. Profil recherché : Sans diplôme minimum, au moins 1 an(s) d'expérience. Compétences requises : gestion de stock, conduite poids lourds, transit. Qualités attendues : autonomie, leadership."
O0097,Gouvernante,Groupe Léfini,Ouesso,Hôtellerie / Restauration,CDD,BAC+2 (BTS/DUT),1,900000,pâtisserie; gestion hôtelière; service en salle; housekeeping; cuisine,adaptabilité; autonomie,"Groupe Léfini recrute un(e) Gouvernante à Ouesso en CDD. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : BAC+2 (BTS/DUT) minimum, au moins 1 an(s) d'expérience. Compétences requises : pâtisserie, gestion hôtelière, service en salle, housekeeping, cuisine. Qualités attendues : adaptabilité, autonomie."
O0098,Gouvernante,Agence Kouilou,Pointe-Noire,Hôtellerie / Restauration,Intérim,BAC,5,250000,service en salle; housekeeping; cuisine; pâtisserie; gestion hôtelière,esprit d'analyse; leadership,"Agence Kouilou recrute un(e) Gouvernante à Pointe-Noire en Intérim. Missions : intervenir sur des activités de hôtellerie / restauration et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 5 an(s) d'expérience. Compétences requises : service en salle, housekeeping, cuisine, pâtisserie, gestion hôtelière. Qualités attendues : esprit d'analyse, leadership."
O0099,Data Analyst,Société Léfini,Brazzaville,Informatique / IT,Consultance,BEPC,0,700000,excel avancé; javascript; développement mobile; bases de données,prise d'initiative; rigueur,"Société Léfini recrute un(e) Data Analyst à Brazzaville en Consultance. Missions : intervenir sur des activités de informatique / it et contribuer aux objectifs de l'équipe. Profil recherché : BEPC minimum, au moins 0 an(s) d'expérience. Compétences requises : excel avancé, javascript, développement mobile, bases de données. Qualités attendues : prise d'initiative, rigueur."
O0100,Agronome,Groupe Plateaux,Ouesso,Agriculture / Agroalimentaire,Intérim,Sans diplôme,0,250000,gestion coopérative; agronomie; maraîchage,gestion du temps; travail en équipe,"Groupe Plateaux recrute un(e) Agronome à Ouesso en Intérim. Missions : intervenir sur des activités de agriculture / agroalimentaire et contribuer aux objectifs de l'équipe. Profil recherché : Sans diplôme minimum, au moins 0 an(s) d'expérience. Compétences requises : gestion coopérative, agronomie, maraîchage. Qualités attendues : gestion du temps, travail en équipe."
O0101,Mécanicien industriel,Cabinet Niari,Dolisie,Pétrole / Gaz / Énergie,CDI,BAC,3,900000,qhse; gestion de plateforme; forage; inspection technique,communication; sens de l'organisation,"Cabinet Niari recrute un(e) Mécanicien industriel à Dolisie en CDI. Missions : intervenir sur des activités de pétrole / gaz / énergie et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 3 an(s) d'expérience. Compétences requises : qhse, gestion de plateforme, forage, inspection technique. Qualités attendues : communication, sens de l'organisation."
O0102,Chargé de clientèle,Entreprise Mayombe,Brazzaville,Banque / Finance,CDI,Licence (BAC+3),0,1200000,conformité bancaire; analyse financière; gestion de trésorerie; comptabilité; fiscalité,autonomie; sens de l'organisation,"Entreprise Mayombe recrute un(e) Chargé de clientèle à Brazzaville en CDI. Missions : intervenir sur des activités de banque / finance et contribuer aux objectifs de l'équipe. Profil recherché : Licence (BAC+3) minimum, au moins 0 an(s) d'expérience. Compétences requises : conformité bancaire, analyse financière, gestion de trésorerie, comptabilité, fiscalité. Qualités attendues : autonomie, sens de l'organisation."
O0103,Technicien informatique,Entreprise Mayombe,Owando,Informatique / IT,CDD,BAC,3,200000,php; développement mobile; machine learning,leadership; adaptabilité,"Entreprise Mayombe recrute un(e) Technicien informatique à Owando en CDD. Missions : intervenir sur des activités de informatique / it et contribuer aux objectifs de l'équipe. Profil recherché : BAC minimum, au moins 3 an(s) d'expérience. Compétences requises : php, développement mobile, machine learning. Qualités attendues : leadership, adaptabilité."
