id_demandeur,nom,age,ville,domaine,titre_professionnel,niveau_etudes,annees_experience,competences,soft_skills,langues,cv_texte
PPPNR2502050019537,PPPNR2502050019537,38,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",Peintre en bâtiment,Sans diplôme,0,génie civil,,français,"Métier visé : Peintre en bâtiment. Qualification : peintre en bâtiment. Peintre en Bâtiment. Filière : Aucune. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Certificat d'Études Primaires Élémentaires (CEPE)."
PPPNR2502050019539,PPPNR2502050019539,25,Pointe-Noire,"Transport, Logistique & Supply Chain",Logisticien,Licence (BAC+3),0,supply chain;vente,,français,"Métier visé : Logisticien. Qualification : logisticien. Logisticien. Filière : Transport et logistique. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Licence."
PPPNR2502050019540,PPPNR2502050019540,59,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",Maçon / Ferailleur,BEPC,0,génie civil,,français,"Métier visé : Maçon / Ferailleur. Qualification : maçon / ferailleur. Maçon / Ferrailleur. Filière : Aucune. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502050019541,PPPNR2502050019541,32,Pointe-Noire,"Transport, Logistique & Supply Chain",Matelots de pont,Licence (BAC+3),0,supply chain,,français,"Métier visé : Matelots de pont. Qualification : matelots de pont. Matelot (Pont). Filière : Commerce International. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Trans Maritime. Diplôme : Licence."
PPPNR2502050019543,PPPNR2502050019543,31,Pointe-Noire,"Sécurité, Sûreté & Défense",APS,BAC,0,,,français,"Métier visé : APS. Qualification : aps. Agent de Prevention et de Securite. Filière : Bac D. Secteur métier : Sécurité, Sûreté & Défense. Secteur d'activité : Sécurité et Gardiennage – Protection des Installations Stratégiques. Diplôme : Baccalauréat."
PPPNR2502050019545,PPPNR2502050019545,39,Pointe-Noire,"Transport, Logistique & Supply Chain",Homme de pont,BAC,0,génie civil;supply chain,,français,"Métier visé : Homme de pont. Qualification : homme de pont. Matelot (Pont). Filière : Bac A. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Baccalauréat."
PPPNR2502050019548,PPPNR2502050019548,24,Pointe-Noire,"Transport, Logistique & Supply Chain",Chauffeur,BEPC,0,supply chain;vente,,français,"Métier visé : Chauffeur. Qualification : chauffeur. Chauffeur. Filière : Aucune. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502050019559,PPPNR2502050019559,31,Pointe-Noire,"Transport, Logistique & Supply Chain",Logisticienne,Licence (BAC+3),0,supply chain;vente,,français,"Métier visé : Logisticienne. Qualification : logisticienne. Logisticien. Filière : Transport et logistique. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Licence."
PPPNR2502050019560,PPPNR2502050019560,25,Pointe-Noire,"Assurance Qualité, Contrôle, Testing (QHSE)",Agent QHSE,Master (BAC+5),0,qhse,,français,"Métier visé : Agent QHSE. Qualification : agent qhse. Technicien QHSE. Filière : Gestion d'environnement. Secteur recherché : Qualité, Hygiène, Sécurité, Environnement. Secteur métier : Assurance Qualité, Contrôle, Testing (QHSE). Secteur d'activité : Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets. Diplôme : Master."
PPBZV2502030019237,PPBZV2502030019237,25,Brazzaville,"Industrie, Production & Maintenance",Soudeur,BAC,0,génie civil,,français,"Métier visé : Soudeur. Qualification : soudeur. Soudeur. Filière : Aucune. Secteur métier : Industrie, Production & Maintenance. Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Pas de diplôme."
PPBZV2502030019288,PPBZV2502030019288,35,Brazzaville,"Informatique, Data, Télécommunications & Digital",Informaticien,Licence (BAC+3),0,cybersécurité,,français,"Métier visé : Informaticien. Qualification : informaticien. Technicien Informatique. Filière : Aucune. Secteur métier : Informatique, Data, Télécommunications & Digital. Secteur d'activité : Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation. Diplôme : Pas de diplôme."
PPPNR2502050019565,PPPNR2502050019565,23,Pointe-Noire,"Informatique, Data, Télécommunications & Digital",Réseaux et télécommunication -,Licence (BAC+3),0,,,français,"Métier visé : Réseaux et télécommunication -. Qualification : réseaux et télécommunication -. Technicien Réseaux & Télécom. Filière : Réseaux et Télécommunications. Secteur recherché : Réseaux et Télécommunications. Secteur métier : Informatique, Data, Télécommunications & Digital. Secteur d'activité : Réseaux et Télécommunications. Diplôme : Licence."
PPBZV2502030019295,PPBZV2502030019295,34,Brazzaville,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Responsable Administratif  et Financier,Master (BAC+5),0,comptabilité;fiscalité,,français,"Métier visé : Responsable Administratif  et Financier. Qualification : responsable administratif  et financier. Directeur Financier/Directeur Administratif et Financier. Filière : Aucune. Secteur métier : Finance, Banque, Assurance, Comptabilité & Fiscalité. Secteur d'activité : Finance. Diplôme : Pas de diplôme."
PPPNR2502050019567,PPPNR2502050019567,25,Pointe-Noire,"Informatique, Data, Télécommunications & Digital",Réseaux et télécommunication -,BAC+2 (BTS/DUT),0,maintenance informatique,,français,"Métier visé : Réseaux et télécommunication -. Qualification : réseaux et télécommunication -. Technicien Réseaux & Télécom. Filière : Maintenance Informatique. Secteur métier : Informatique, Data, Télécommunications & Digital. Secteur d'activité : Réseaux et Télécommunications. Diplôme : Bac +2."
PPBZV2502030019296,PPBZV2502030019296,23,Brazzaville,"Transport, Logistique & Supply Chain",chauffeur polyvalent,BAC,0,supply chain,,français,"Métier visé : chauffeur polyvalent. Qualification : chauffeur polyvalent. Chauffeur Polyvalent. Filière : Aucune. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial. Diplôme : Pas de diplôme."
PPBZV2502030019298,PPBZV2502030019298,28,Brazzaville,"Informatique, Data, Télécommunications & Digital",Technicien de maintenance informatique,BAC+2 (BTS/DUT),0,cybersécurité;maintenance informatique,,français,"Métier visé : Technicien de maintenance informatique. Qualification : technicien de maintenance informatique. Technicien Support IT. Filière : Aucune. Secteur recherché : Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation. Secteur métier : Informatique, Data, Télécommunications & Digital. Secteur d'activité : Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation. Diplôme : Pas de diplôme."
PPPNR2502050019574,PPPNR2502050019574,38,Pointe-Noire,"Santé, Pharmacie & Recherche Scientifique",Chimiste,Licence (BAC+3),0,pharmacie,,français,"Métier visé : Chimiste. Qualification : chimiste. Chimiste. Filière : Chimie industrielle et environnementale. Secteur recherché : Exploitation Forestière - Bois - Produits forestiers. Secteur métier : Santé, Pharmacie & Recherche Scientifique. Secteur d'activité : Industrie. Diplôme : Licence."
PPPNR2502050019575,PPPNR2502050019575,37,Pointe-Noire,Fonction Publique & Administration,Agent Administratif,BAC+2 (BTS/DUT),0,secrétariat,,français,Métier visé : Agent Administratif. Qualification : agent administratif. Agent Administratif et de Secrétariat. Filière : Administration des entreprises. Secteur recherché : Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim. Secteur métier : Fonction Publique & Administration. Diplôme : Bac +2.
PPPNR2502060019579,PPPNR2502060019579,39,Pointe-Noire,"Transport, Logistique & Supply Chain",Chauffeur Poids lourd,BEPC,0,supply chain,,français,"Métier visé : Chauffeur Poids lourd. Qualification : chauffeur poids lourd. Chauffeur Poids Lourds. Filière : Aucune. Secteur métier : Transport, Logistique & Supply Chain. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502060019580,PPPNR2502060019580,39,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",Echafaudeur,BEPC,0,génie civil,,français,"Métier visé : Echafaudeur. Qualification : echafaudeur. Échafaudeur. Filière : échafaudage. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502060019584,PPPNR2502060019584,50,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",Peintre / Echafaudeur,Sans diplôme,0,,,français,"Métier visé : Peintre / Echafaudeur. Qualification : peintre / echafaudeur. Peintre Echafaudeur. Filière : échafaudage. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Diplôme : Certificat d'Études Primaires Élémentaires (CEPE)."
PPPNR2502060019587,PPPNR2502060019587,43,Pointe-Noire,"Transport, Logistique & Supply Chain",Chauffeur,BEPC,0,soudure;supply chain;vente,,français,"Métier visé : Chauffeur. Qualification : chauffeur. Chauffeur. Filière : Soudure Homologué. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502060019591,PPPNR2502060019591,33,Pointe-Noire,"Assurance Qualité, Contrôle, Testing (QHSE)",Agent QHSE,Licence (BAC+3),0,qhse,,français,"Métier visé : Agent QHSE. Qualification : agent qhse. Technicien QHSE. Filière : Informatique. Secteur métier : Assurance Qualité, Contrôle, Testing (QHSE). Secteur d'activité : Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets. Diplôme : Licence."
PPPNR2502060019595,PPPNR2502060019595,24,Pointe-Noire,"Sécurité, Sûreté & Défense",Agent de sécurité,BAC,0,,,français,"Métier visé : Agent de sécurité. Qualification : agent de sécurité. Agent de Securite. Filière : Bac D. Secteur métier : Sécurité, Sûreté & Défense. Secteur d'activité : Sécurité et Gardiennage – Protection des Installations Stratégiques. Diplôme : Baccalauréat Général."
PPPNR2502060019598,PPPNR2502060019598,35,Pointe-Noire,Industrie pétrolière et gazière,SONDEUR,BEPC,0,,,français,Métier visé : SONDEUR. Qualification : sondeur. Sondeur. Filière : Aucune. Secteur métier : Industrie pétrolière et gazière. Secteur d'activité : Industrie pétrolière et gazière - Services pétroliers - Hydrocarbures. Diplôme : Brevet d'Études du Premier Cycle (BEPC).
PPBZV2502030019300,PPBZV2502030019300,40,Brazzaville,"Commerce, Vente, Marketing & Distribution",Agent Commercial,BAC,0,vente,,français,"Métier visé : Agent Commercial. Qualification : agent commercial. Commercial. Filière : Aucune. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Pas de diplôme."
PPPNR2502060019602,PPPNR2502060019602,50,Pointe-Noire,"Transport, Logistique & Supply Chain",Chauffeur de poids lourd,Sans diplôme,0,supply chain;transit,,français,"Métier visé : Chauffeur de poids lourd. Qualification : chauffeur de poids lourd. Chauffeur Poids Lourds. Filière : Aucune. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Transit - Transport et Logistique - Génie Logistique. Diplôme : Certificat d'Études Primaires Élémentaires (CEPE)."
PPPNR2502060019604,PPPNR2502060019604,39,Pointe-Noire,"Commerce, Vente, Marketing & Distribution",Agent Commercial,Licence (BAC+3),0,vente,,français,"Métier visé : Agent Commercial. Qualification : agent commercial. Commercial. Filière : Marketing. Secteur recherché : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Licence."
PPPNR2502060019607,PPPNR2502060019607,45,Pointe-Noire,"Énergie, Environnement & Eau",Électricie,BAC+2 (BTS/DUT),0,maintenance industrielle,,français,"Métier visé : Électricie. Qualification : électricie. Électricien. Filière : Maintenance industrielle. Secteur métier : Énergie, Environnement & Eau. Diplôme : Brevet de Technicien Supérieur (BTS)."
PPPNR2502060019608,PPPNR2502060019608,45,Pointe-Noire,"Énergie, Environnement & Eau",Electromecanicien,Licence (BAC+3),0,maintenance industrielle;électromécanique,,français,"Métier visé : Electromecanicien. Qualification : electromecanicien. Technicien en Électromécanique. Filière : Maintenance industrielle. Secteur métier : Énergie, Environnement & Eau. Secteur d'activité : Electricité-Electricité Industrielle-Electromécanique-Electrotechnique. Diplôme : Licence."
PPPNR2502060019614,PPPNR2502060019614,42,Pointe-Noire,"Industrie, Production & Maintenance",Tuyauteur/Chaudronnier,BAC,0,,,français,"Métier visé : Tuyauteur/Chaudronnier. Qualification : tuyauteur/chaudronnier. Tuyauteur Chaudronnier. Filière : Aucune. Secteur métier : Industrie, Production & Maintenance. Secteur d'activité : Industrie pétrolière et gazière - Services pétroliers - Hydrocarbures. Diplôme : Brevet d'Etude Technique (BET)."
PPPNR2502060019615,PPPNR2502060019615,26,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",Géotechnicien,Master (BAC+5),0,génie civil,,français,"Métier visé : Géotechnicien. Qualification : géotechnicien. Géotechnicien. Filière : Génie Pétrolier. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Master."
PPPNR2502060019617,PPPNR2502060019617,20,Pointe-Noire,"Industrie, Production & Maintenance",Mecanique Generale,BEPC,0,,,français,"Métier visé : Mecanique Generale. Qualification : mecanique generale. Technicien Mecanique Generale. Filière : Aucune. Secteur métier : Industrie, Production & Maintenance. Secteur d'activité : Industrie pétrolière et gazière - Services pétroliers - Hydrocarbures. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPBZV2502040019305,PPBZV2502040019305,32,Brazzaville,"Finance, Banque, Assurance, Comptabilité & Fiscalité",Banque et finance,Master (BAC+5),0,comptabilité;fiscalité,,français,"Métier visé : Banque et finance. Qualification : banque et finance. Analyste Marchés Financiers. Filière : Aucune. Secteur métier : Finance, Banque, Assurance, Comptabilité & Fiscalité. Secteur d'activité : Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim. Diplôme : Pas de diplôme."
PPPNR2502060019622,PPPNR2502060019622,23,Pointe-Noire,"Conseil, Stratégie & Gestion des Ressources Humaines",Assistant des ressources humaines,BAC,0,gestion des ressources humaines,,français,"Métier visé : Assistant des ressources humaines. Qualification : assistant des ressources humaines. Assistant en Ressources Humaines. Filière : Bac A. Secteur métier : Conseil, Stratégie & Gestion des Ressources Humaines. Secteur d'activité : Administration et Gestion - Fonction Publique - Ressources Humaines - Recrutement - Société d'intérim. Diplôme : Baccalauréat."
PPBZV2502040019339,PPBZV2502040019339,30,Brazzaville,Services à la Personne & Social,Agent d'entretien,Sans diplôme,0,,,français,Métier visé : Agent d'entretien. Qualification : agent d'entretien. Agent d'Entretien. Filière : Aucune. Secteur métier : Services à la Personne & Social. Secteur d'activité : Nettoyage - Blanchisserie - Pressing. Diplôme : Pas de diplôme.
PPPNR2502060019624,PPPNR2502060019624,30,Pointe-Noire,"Industrie, Production & Maintenance",Soudeur,Sans diplôme,0,génie civil,,français,"Métier visé : Soudeur. Qualification : soudeur. Soudeur. Filière : Aucune. Secteur métier : Industrie, Production & Maintenance. Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : Certificat d'Études Primaires Élémentaires (CEPE)."
PPPNR2502060019628,PPPNR2502060019628,41,Pointe-Noire,"Bâtiment, Travaux Publics & Aménagement du Territoire",Peintre / Echafaudeur,BEPC,0,,,français,"Métier visé : Peintre / Echafaudeur. Qualification : peintre / echafaudeur. Peintre Echafaudeur. Filière : Aucune. Secteur métier : Bâtiment, Travaux Publics & Aménagement du Territoire. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502060019629,PPPNR2502060019629,54,Pointe-Noire,"Industrie, Production & Maintenance",Peintre / Sableur,BEPC,0,,,français,"Métier visé : Peintre / Sableur. Qualification : peintre / sableur. Peintre industriel. Filière : Aucune. Secteur métier : Industrie, Production & Maintenance. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPBZV2502040019342,PPBZV2502040019342,24,Brazzaville,"Transport, Logistique & Supply Chain",Chauffeur livreur,BEPC,0,supply chain,,français,"Métier visé : Chauffeur livreur. Qualification : chauffeur livreur. Chauffeur-Livreur. Filière : Aucune. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial. Diplôme : Pas de diplôme."
PPPNR2502060019632,PPPNR2502060019632,31,Pointe-Noire,"Assurance Qualité, Contrôle, Testing (QHSE)",Assistant HSE,BAC,0,génie civil;hse;qhse,,français,"Métier visé : Assistant HSE. Qualification : assistant hse. Assistant HSE. Filière : Hygiène, Sécurité, Environnement. Secteur métier : Assurance Qualité, Contrôle, Testing (QHSE). Secteur d'activité : Génie Civil - Construction - Bâtiment et Travaux - Architecture. Diplôme : BAC Technique."
PPBZV2502040019366,PPBZV2502040019366,37,Brazzaville,"Informatique, Data, Télécommunications & Digital",Informaticien,Licence (BAC+3),0,cybersécurité,,français,"Métier visé : Informaticien. Qualification : informaticien. Technicien Informatique. Filière : Aucune. Secteur métier : Informatique, Data, Télécommunications & Digital. Secteur d'activité : Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation. Diplôme : Pas de diplôme."
PPPNR2502060019638,PPPNR2502060019638,48,Pointe-Noire,"Santé, Pharmacie & Recherche Scientifique",Infirmier,BEPC,0,pharmacie;vente,,français,"Métier visé : Infirmier. Qualification : infirmier. Infirmier. Filière : Aucune. Secteur métier : Santé, Pharmacie & Recherche Scientifique. Secteur d'activité : Santé - Médecine - Pharmacie - vente de produits pharmaceutiques. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502060019639,PPPNR2502060019639,30,Pointe-Noire,"Transport, Logistique & Supply Chain",Chauffeur,BAC,0,supply chain;vente,,français,"Métier visé : Chauffeur. Qualification : chauffeur. Chauffeur. Filière : Bac F3. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Technologique."
PPPNR2502060019640,PPPNR2502060019640,30,Pointe-Noire,"Industrie, Production & Maintenance",Electricité Indistruel,Licence (BAC+3),0,,,français,"Métier visé : Electricité Indistruel. Qualification : electricité indistruel. Électricien Industriel. Filière : Électricité industrielle. Secteur métier : Industrie, Production & Maintenance. Secteur d'activité : Énergie Renouvelable - Solaire - Éolien - Biomasse - Hydroélectrique - Électricité  - Énergie . Diplôme : Licence."
PPPNR2502060019641,PPPNR2502060019641,45,Pointe-Noire,"Transport, Logistique & Supply Chain",Chauffeur de poids lourd,BEPC,0,supply chain;transit,,français,"Métier visé : Chauffeur de poids lourd. Qualification : chauffeur de poids lourd. Chauffeur Poids Lourds. Filière : Aucune. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Transit - Transport et Logistique - Génie Logistique. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502060019642,PPPNR2502060019642,36,Pointe-Noire,"Sécurité, Sûreté & Défense",APS,BAC,0,,,français,"Métier visé : APS. Qualification : aps. Agent de Prevention et de Securite. Filière : Sûreté. Secteur métier : Sécurité, Sûreté & Défense. Secteur d'activité : Sécurité et Gardiennage – Protection des Installations Stratégiques. Diplôme : Brevet d'Etude Technique (BET)."
PPBZV2502040019377,PPBZV2502040019377,36,Brazzaville,"Communication, Médias & Événementiel",Chargé de communication,Master (BAC+5),0,,,français,"Métier visé : Chargé de communication. Qualification : chargé de communication. Chargé de Communication. Filière : Aucune. Secteur métier : Communication, Médias & Événementiel. Secteur d'activité : Communication - Médias - Informations - Community Manager - Audiovisuel et Multimédia - Journalisme. Diplôme : Pas de diplôme."
PPPNR2502060019644,PPPNR2502060019644,43,Pointe-Noire,"Industrie, Production & Maintenance",Grutier,BAC,0,,,français,"Métier visé : Grutier. Qualification : grutier. Grutier. Filière : Bac D. Secteur métier : Industrie, Production & Maintenance. Diplôme : Baccalauréat Général."
PPPNR2502060019646,PPPNR2502060019646,51,Pointe-Noire,"Énergie, Environnement & Eau",Électricien,BAC,0,vente,,français,"Métier visé : Électricien. Qualification : électricien. Électricien. Filière : Bac A. Secteur métier : Énergie, Environnement & Eau. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Général."
PPPNR2502060019648,PPPNR2502060019648,47,Pointe-Noire,"Sécurité, Sûreté & Défense",Agent de Prévention et de Sécurité,BEPC,0,,,français,"Métier visé : Agent de Prévention et de Sécurité. Qualification : agent de prévention et de sécurité. Agent de Prevention et de Securite. Filière : Aucune. Secteur métier : Sécurité, Sûreté & Défense. Secteur d'activité : Sécurité et Gardiennage – Protection des Installations Stratégiques. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502060019650,PPPNR2502060019650,29,Pointe-Noire,"Industrie, Production & Maintenance",Conducteur d'engins,BAC,0,,,français,"Métier visé : Conducteur d'engins. Qualification : conducteur d'engins. Conducteur d'Engins. Filière : Bac A. Secteur métier : Industrie, Production & Maintenance. Secteur d'activité : Transport terrestre - Transport - Transport Maritime - Transport Aérien - Transport Fluvial. Diplôme : Baccalauréat."
PPBZV2502040019407,PPBZV2502040019407,39,Brazzaville,"Informatique, Data, Télécommunications & Digital",Informaticien,Licence (BAC+3),0,cybersécurité,,français,"Métier visé : Informaticien. Qualification : informaticien. Technicien Informatique. Filière : Aucune. Secteur métier : Informatique, Data, Télécommunications & Digital. Secteur d'activité : Informatique - Cybersécurité - Infographie - Data - Intelligence Artificielle - Digitalisation. Diplôme : Pas de diplôme."
PPPNR2502060019658,PPPNR2502060019658,45,Pointe-Noire,"Sécurité, Sûreté & Défense",Agent de sécurité,BAC,0,comptabilité,,français,"Métier visé : Agent de sécurité. Qualification : agent de sécurité. Agent de Securite. Filière : Comptabilité. Secteur métier : Sécurité, Sûreté & Défense. Secteur d'activité : Sécurité et Gardiennage – Protection des Installations Stratégiques. Diplôme : Baccalauréat Technologique."
PPPNR2502060019659,PPPNR2502060019659,41,Pointe-Noire,"Transport, Logistique & Supply Chain",Chauffeur de poids lourd,BEPC,0,supply chain;transit,,français,"Métier visé : Chauffeur de poids lourd. Qualification : chauffeur de poids lourd. Chauffeur Poids Lourds. Filière : Aucune. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Transit - Transport et Logistique - Génie Logistique. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502060019661,PPPNR2502060019661,27,Pointe-Noire,"Sécurité, Sûreté & Défense",APS,BAC+2 (BTS/DUT),0,maintenance industrielle,,français,"Métier visé : APS. Qualification : aps. Agent de Prevention et de Securite. Filière : Maintenance industrielle. Secteur métier : Sécurité, Sûreté & Défense. Secteur d'activité : Sécurité et Gardiennage – Protection des Installations Stratégiques. Diplôme : Bac +2."
PPPNR2502060019662,PPPNR2502060019662,24,Pointe-Noire,"Industrie, Production & Maintenance",Peintre / Sableur,BEPC,0,,,français,"Métier visé : Peintre / Sableur. Qualification : peintre / sableur. Peintre industriel. Filière : Aucune. Secteur métier : Industrie, Production & Maintenance. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502060019663,PPPNR2502060019663,26,Pointe-Noire,"Industrie, Production & Maintenance",Tuyauteur/Chaudronnier,BAC,0,soudure,,français,"Métier visé : Tuyauteur/Chaudronnier. Qualification : tuyauteur/chaudronnier. Tuyauteur Chaudronnier. Filière : Soudure Homologué. Secteur métier : Industrie, Production & Maintenance. Secteur d'activité : Industrie pétrolière et gazière - Services pétroliers - Hydrocarbures. Diplôme : Brevet de Technicien."
PPPNR2502060019671,PPPNR2502060019671,26,Pointe-Noire,"Industrie, Production & Maintenance",Technicien de maintenance,Licence (BAC+3),0,maintenance industrielle,,français,"Métier visé : Technicien de maintenance. Qualification : technicien de maintenance. Technicien de maintenance industrielle. Filière : Maintenance industrielle. Secteur métier : Industrie, Production & Maintenance. Diplôme : Licence."
PPBZV2502040019408,PPBZV2502040019408,24,Brazzaville,"Transport, Logistique & Supply Chain",Agent Logistique,BAC,0,supply chain;transit,,français,"Métier visé : Agent Logistique. Qualification : agent logistique. Agent Logistique. Filière : Aucune. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Transit - Transport et Logistique - Génie Logistique. Diplôme : Pas de diplôme."
PPBZV2502040019409,PPBZV2502040019409,26,Brazzaville,Droit et Justice,Juriste,Master (BAC+5),0,,,français,Métier visé : Juriste. Qualification : juriste. Juriste. Filière : Aucune. Secteur recherché : Droit et Justice. Secteur métier : Droit et Justice. Secteur d'activité : Droit et Justice. Diplôme : Pas de diplôme.
PPPNR2502070019676,PPPNR2502070019676,29,Pointe-Noire,"Énergie, Environnement & Eau",Électricien,BEPC,0,vente;électricité bâtiment,,français,"Métier visé : Électricien. Qualification : électricien. Électricien. Filière : Électricité bâtiment. Secteur métier : Énergie, Environnement & Eau. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
PPPNR2502070019677,PPPNR2502070019677,37,Pointe-Noire,"Commerce, Vente, Marketing & Distribution",Business Développement Manager,Licence (BAC+3),0,vente,,français,"Métier visé : Business Développement Manager. Qualification : business développement manager. Responsable développement commercial. Filière : Gestion Commerciale. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Licence Professionnelle ."
PPPNR2502070019679,PPPNR2502070019679,47,Pointe-Noire,"Assurance Qualité, Contrôle, Testing (QHSE)",HSE,Licence (BAC+3),0,hse;qhse,,français,"Métier visé : HSE. Qualification : hse. Technicien HSE. Filière : Hygiène, Sécurité, Environnement. Secteur métier : Assurance Qualité, Contrôle, Testing (QHSE). Secteur d'activité : Environnement - Hygiène-Qualité - Sécurité - Extraction, Production et commercialisation d'eau - Collecte des déchets. Diplôme : Licence."
PPPNR2502070019680,PPPNR2502070019680,24,Pointe-Noire,"Commerce, Vente, Marketing & Distribution",Pompiste,BAC,0,vente,,français,"Métier visé : Pompiste. Qualification : pompiste. Employé de station-service. Filière : Bac F3. Secteur métier : Commerce, Vente, Marketing & Distribution. Secteur d'activité : Commerce - Vente - Marketing - Grande distribution - Distribution - Négoce - Relation client . Diplôme : Baccalauréat Technologique."
PPPNR2502070019681,PPPNR2502070019681,42,Pointe-Noire,"Transport, Logistique & Supply Chain",Chauffeur de poids lourd,BEPC,0,supply chain;transit,,français,"Métier visé : Chauffeur de poids lourd. Qualification : chauffeur de poids lourd. Chauffeur Poids Lourds. Filière : Aucune. Secteur métier : Transport, Logistique & Supply Chain. Secteur d'activité : Transit - Transport et Logistique - Génie Logistique. Diplôme : Brevet d'Études du Premier Cycle (BEPC)."
